b1	r1
0.392	0.254
0.392	0.254
0.392	0.254
0.391	0.255
0.391	0.255
0.391	0.255
0.391	0.255
0.391	0.255
0.391	0.251
0.391	0.251
0.399	0.246
0.399	0.246
0.396	0.246
0.396	0.245
0.396	0.245
0.395	0.244
0.39	0.258
0.39	0.258
0.394	0.249
0.394	0.249
0.394	0.249
0.394	0.249
0.4	0.236
0.4	0.236
0.4	0.236
0.4	0.236
0.397	0.247
0.394	0.251
0.394	0.251
0.392	0.245
0.392	0.245
0.392	0.248
0.392	0.248
0.392	0.256
0.392	0.256
0.392	0.256
0.394	0.246
0.394	0.246
0.394	0.246
0.394	0.246
0.389	0.261
0.397	0.241
0.4	0.242
0.39	0.251
0.39	0.251
0.39	0.251
0.39	0.251
0.39	0.251
0.39	0.251
0.389	0.254
0.389	0.254
0.395	0.253
0.395	0.253
0.395	0.253
0.393	0.249
0.393	0.249
0.402	0.241
0.401	0.237
0.401	0.237
0.401	0.237
0.401	0.237
0.401	0.237
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.394	0.243
0.394	0.243
0.398	0.245
0.398	0.245
0.393	0.252
0.393	0.252
0.382	0.257
0.397	0.246
0.397	0.246
0.397	0.246
0.388	0.256
0.389	0.251
0.389	0.259
0.389	0.259
0.389	0.259
0.389	0.259
0.389	0.259
0.396	0.24
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.391	0.253
0.391	0.253
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.402	0.236
0.402	0.236
0.402	0.236
0.39	0.255
0.39	0.255
0.39	0.255
0.387	0.258
0.397	0.245
0.397	0.245
0.402	0.237
0.396	0.25
0.396	0.25
0.396	0.25
0.396	0.25
0.396	0.25
0.391	0.254
0.391	0.254
0.389	0.259
0.389	0.259
0.389	0.259
0.394	0.25
0.394	0.245
0.394	0.245
0.394	0.245
0.394	0.245
0.394	0.245
0.396	0.244
0.387	0.254
0.387	0.254
0.387	0.254
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.395	0.248
0.395	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.393	0.249
0.393	0.249
0.388	0.256
0.388	0.256
0.388	0.256
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.394	0.252
0.386	0.261
0.386	0.261
0.386	0.263
0.386	0.263
0.386	0.263
0.386	0.263
0.386	0.263
0.386	0.263
0.386	0.263
0.386	0.263
0.398	0.246
0.386	0.264
0.386	0.264
0.386	0.264
0.386	0.264
0.403	0.234
0.389	0.258
0.389	0.258
0.389	0.258
0.384	0.256
0.393	0.249
0.392	0.252
0.392	0.252
0.393	0.248
0.397	0.247
0.395	0.247
0.395	0.247
0.395	0.247
0.395	0.247
0.389	0.258
0.389	0.258
0.386	0.253
0.386	0.255
0.386	0.255
0.386	0.255
0.386	0.255
0.386	0.255
0.396	0.246
0.396	0.246
0.396	0.246
0.396	0.246
0.396	0.246
0.396	0.246
0.396	0.246
0.396	0.246
0.394	0.247
0.394	0.247
0.394	0.247
0.394	0.247
0.394	0.247
0.394	0.247
0.392	0.257
0.392	0.257
0.392	0.257
0.392	0.257
0.392	0.257
0.392	0.257
0.39	0.254
0.39	0.254
0.39	0.254
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.402	0.234
0.398	0.244
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.392	0.248
0.392	0.248
0.392	0.248
0.392	0.248
0.392	0.248
0.392	0.248
0.392	0.248
0.392	0.248
0.39	0.255
0.392	0.255
0.392	0.255
0.393	0.255
0.401	0.241
0.401	0.241
0.401	0.241
0.401	0.241
0.401	0.241
0.401	0.241
0.392	0.246
0.392	0.246
0.392	0.246
0.392	0.246
0.392	0.246
0.392	0.246
0.392	0.246
0.389	0.251
0.389	0.251
0.389	0.251
0.389	0.251
0.389	0.251
0.389	0.251
0.389	0.251
0.389	0.251
0.389	0.251
0.389	0.251
0.397	0.242
0.397	0.242
0.392	0.254
0.392	0.254
0.392	0.253
0.397	0.239
0.4	0.239
0.4	0.239
0.388	0.255
0.388	0.255
0.388	0.255
0.394	0.251
0.391	0.252
0.391	0.252
0.39	0.248
0.39	0.248
0.39	0.248
0.398	0.243
0.398	0.243
0.389	0.254
0.389	0.254
0.389	0.254
0.389	0.254
0.389	0.254
0.388	0.253
0.388	0.253
0.388	0.253
0.388	0.253
0.398	0.238
0.398	0.238
0.398	0.238
0.395	0.247
0.395	0.247
0.395	0.247
0.395	0.247
0.391	0.251
0.391	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.399	0.245
0.399	0.245
0.399	0.245
0.389	0.255
0.389	0.255
0.389	0.255
0.389	0.257
0.392	0.25
0.396	0.248
0.396	0.248
0.396	0.248
0.396	0.248
0.396	0.248
0.392	0.257
0.392	0.257
0.392	0.257
0.392	0.257
0.392	0.257
0.396	0.25
0.396	0.25
0.397	0.243
0.397	0.243
0.39	0.256
0.387	0.257
0.387	0.257
0.387	0.257
0.387	0.257
0.395	0.244
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.399	0.243
0.388	0.257
0.388	0.257
0.392	0.255
0.391	0.25
0.399	0.244
0.399	0.244
0.399	0.244
0.392	0.254
0.393	0.252
0.393	0.252
0.393	0.252
0.393	0.252
0.393	0.252
0.393	0.252
0.398	0.244
0.389	0.256
0.393	0.248
0.393	0.248
0.394	0.247
0.39	0.258
0.39	0.258
0.39	0.258
0.389	0.256
0.389	0.256
0.389	0.256
0.394	0.245
0.394	0.245
0.386	0.26
0.386	0.26
0.386	0.26
0.398	0.244
0.398	0.244
0.398	0.244
0.394	0.246
0.394	0.246
0.394	0.246
0.394	0.246
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.397	0.235
0.397	0.235
0.397	0.235
0.397	0.235
0.397	0.235
0.389	0.257
0.389	0.257
0.396	0.244
0.399	0.242
0.4	0.242
0.391	0.257
0.391	0.257
0.391	0.257
0.396	0.243
0.396	0.243
0.39	0.253
0.398	0.245
0.401	0.236
0.394	0.247
0.402	0.237
0.4	0.245
0.4	0.245
0.4	0.245
0.393	0.242
0.393	0.242
0.393	0.242
0.393	0.242
0.393	0.242
0.393	0.242
0.403	0.24
0.391	0.253
0.391	0.253
0.398	0.243
0.398	0.243
0.398	0.243
0.389	0.254
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.396	0.243
0.397	0.238
0.399	0.245
0.382	0.27
0.393	0.252
0.393	0.252
0.393	0.252
0.393	0.252
0.393	0.252
0.393	0.252
0.393	0.252
0.393	0.252
0.395	0.244
0.395	0.244
0.395	0.244
0.399	0.239
0.399	0.239
0.399	0.239
0.406	0.236
0.396	0.243
0.396	0.243
0.391	0.25
0.391	0.25
0.4	0.242
0.4	0.242
0.4	0.242
0.4	0.242
0.4	0.242
0.4	0.242
0.4	0.242
0.4	0.242
0.393	0.257
0.393	0.243
0.395	0.247
0.398	0.246
0.398	0.246
0.398	0.246
0.398	0.246
0.398	0.246
0.398	0.246
0.398	0.246
0.395	0.244
0.395	0.244
0.395	0.244
0.395	0.244
0.395	0.244
0.39	0.257
0.403	0.234
0.403	0.234
0.386	0.261
0.386	0.261
0.386	0.261
0.386	0.261
0.398	0.24
0.388	0.254
0.394	0.246
0.394	0.246
0.395	0.24
0.395	0.24
0.387	0.26
0.387	0.26
0.387	0.26
0.396	0.248
0.396	0.248
0.396	0.248
0.386	0.258
0.386	0.258
0.386	0.258
0.386	0.258
0.386	0.258
0.386	0.258
0.388	0.256
0.388	0.256
0.395	0.251
0.395	0.251
0.396	0.246
0.396	0.246
0.396	0.246
0.396	0.246
0.396	0.246
0.396	0.246
0.396	0.246
0.402	0.235
0.392	0.252
0.392	0.252
0.398	0.243
0.398	0.243
0.391	0.257
0.395	0.249
0.395	0.249
0.393	0.253
0.393	0.253
0.397	0.244
0.397	0.244
0.397	0.244
0.397	0.244
0.393	0.255
0.394	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.393	0.25
0.392	0.25
0.392	0.25
0.397	0.253
0.397	0.253
0.397	0.253
0.394	0.247
0.393	0.254
0.393	0.254
0.391	0.254
0.391	0.254
0.391	0.254
0.391	0.254
0.391	0.254
0.391	0.254
0.386	0.261
0.386	0.261
0.392	0.25
0.392	0.25
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.393	0.246
0.397	0.243
0.398	0.241
0.389	0.251
0.389	0.251
0.396	0.239
0.389	0.256
0.401	0.242
0.401	0.242
0.395	0.244
0.395	0.244
0.401	0.237
0.399	0.242
0.397	0.245
0.391	0.25
0.391	0.25
0.399	0.245
0.399	0.245
0.399	0.245
0.399	0.245
0.399	0.245
0.399	0.245
0.399	0.245
0.395	0.249
0.389	0.255
0.389	0.255
0.389	0.255
0.389	0.255
0.389	0.255
0.389	0.255
0.397	0.244
0.397	0.244
0.394	0.25
0.394	0.25
0.394	0.25
0.395	0.246
0.394	0.247
0.394	0.247
0.394	0.241
0.394	0.247
0.394	0.247
0.394	0.247
0.394	0.247
0.394	0.247
0.39	0.258
0.395	0.25
0.395	0.25
0.397	0.246
0.387	0.261
0.386	0.262
0.386	0.262
0.395	0.245
0.396	0.244
0.394	0.244
0.394	0.244
0.393	0.249
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.396	0.244
0.396	0.244
0.396	0.244
0.396	0.244
0.396	0.244
0.389	0.25
0.393	0.249
0.393	0.249
0.397	0.24
0.397	0.24
0.397	0.24
0.402	0.244
0.388	0.259
0.388	0.259
0.388	0.259
0.388	0.259
0.388	0.259
0.388	0.259
0.388	0.259
0.394	0.25
0.394	0.25
0.394	0.25
0.393	0.252
0.4	0.24
0.387	0.261
0.387	0.261
0.387	0.261
0.387	0.261
0.395	0.244
0.399	0.242
0.391	0.253
0.391	0.253
0.391	0.253
0.391	0.253
0.391	0.253
0.391	0.253
0.391	0.253
0.391	0.253
0.391	0.253
0.398	0.244
0.398	0.244
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.395	0.246
0.39	0.255
0.387	0.258
0.387	0.258
0.397	0.247
0.397	0.247
0.397	0.244
0.397	0.244
0.397	0.244
0.4	0.245
0.39	0.251
0.39	0.251
0.39	0.251
0.39	0.251
0.39	0.251
0.398	0.244
0.398	0.244
0.398	0.244
0.401	0.238
0.392	0.255
0.392	0.255
0.392	0.255
0.392	0.255
0.397	0.24
0.394	0.246
0.394	0.246
0.394	0.246
0.387	0.255
0.387	0.255
0.387	0.255
0.395	0.245
0.39	0.252
0.396	0.245
0.398	0.244
0.398	0.244
0.398	0.244
0.398	0.244
0.398	0.244
0.398	0.244
0.394	0.248
0.394	0.248
0.396	0.247
0.396	0.247
0.396	0.247
0.388	0.262
0.388	0.262
0.388	0.262
0.398	0.247
0.398	0.247
0.398	0.247
0.398	0.247
0.398	0.247
0.391	0.252
0.391	0.252
0.391	0.252
0.405	0.236
0.405	0.236
0.405	0.236
0.401	0.23
0.394	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.397	0.242
0.397	0.242
0.397	0.242
0.397	0.242
0.397	0.242
0.397	0.242
0.397	0.242
0.394	0.247
0.394	0.247
0.394	0.247
0.394	0.247
0.392	0.252
0.392	0.252
0.392	0.252
0.392	0.252
0.392	0.252
0.392	0.252
0.397	0.244
0.397	0.244
0.397	0.244
0.397	0.244
0.397	0.244
0.397	0.244
0.397	0.244
0.397	0.244
0.397	0.244
0.389	0.255
0.389	0.255
0.388	0.251
0.388	0.251
0.39	0.255
0.39	0.255
0.399	0.244
0.399	0.244
0.392	0.25
0.392	0.252
0.392	0.252
0.383	0.266
0.383	0.266
0.383	0.266
0.383	0.266
0.398	0.243
0.398	0.243
0.392	0.247
0.392	0.247
0.392	0.247
0.397	0.244
0.397	0.245
0.397	0.245
0.397	0.245
0.397	0.245
0.397	0.245
0.397	0.245
0.397	0.245
0.399	0.241
0.399	0.241
0.393	0.249
0.393	0.249
0.394	0.246
0.394	0.246
0.387	0.261
0.387	0.261
0.393	0.254
0.393	0.254
0.393	0.254
0.393	0.254
0.39	0.246
0.39	0.246
0.39	0.246
0.39	0.246
0.39	0.246
0.39	0.246
0.401	0.236
0.401	0.236
0.401	0.236
0.401	0.236
0.387	0.258
0.392	0.245
0.392	0.245
0.392	0.245
0.395	0.244
0.395	0.244
0.401	0.243
0.401	0.243
0.401	0.24
0.401	0.24
0.401	0.24
0.401	0.24
0.401	0.24
0.393	0.251
0.394	0.253
0.394	0.253
0.391	0.249
0.391	0.249
0.391	0.249
0.39	0.249
0.39	0.249
0.39	0.249
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.389	0.251
0.396	0.246
0.393	0.248
0.393	0.248
0.396	0.249
0.391	0.255
0.391	0.255
0.389	0.255
0.393	0.241
0.393	0.241
0.393	0.241
0.393	0.241
0.393	0.241
0.393	0.241
0.393	0.241
0.393	0.241
0.393	0.241
0.393	0.241
0.393	0.241
0.393	0.241
0.399	0.24
0.399	0.24
0.399	0.24
0.395	0.254
0.394	0.248
0.394	0.248
0.394	0.248
0.394	0.248
0.383	0.264
0.383	0.264
0.397	0.242
0.397	0.242
0.397	0.242
0.398	0.24
0.398	0.24
0.398	0.24
0.398	0.24
0.398	0.24
0.398	0.24
0.398	0.24
0.403	0.234
0.403	0.234
0.403	0.234
0.403	0.234
0.387	0.259
0.387	0.259
0.401	0.238
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.392	0.254
0.392	0.254
0.396	0.242
0.396	0.242
0.396	0.242
0.393	0.253
0.39	0.254
0.39	0.254
0.39	0.254
0.395	0.246
0.395	0.246
0.395	0.246
0.395	0.246
0.395	0.246
0.395	0.246
0.395	0.246
0.395	0.246
0.399	0.241
0.393	0.247
0.397	0.238
0.397	0.238
0.392	0.254
0.392	0.254
0.392	0.254
0.387	0.26
0.392	0.246
0.392	0.254
0.392	0.254
0.385	0.259
0.385	0.259
0.385	0.259
0.385	0.259
0.393	0.25
0.393	0.25
0.393	0.25
0.393	0.25
0.396	0.241
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.392	0.255
0.392	0.255
0.392	0.255
0.389	0.259
0.385	0.26
0.396	0.243
0.396	0.243
0.396	0.243
0.396	0.243
0.396	0.243
0.396	0.243
0.396	0.241
0.396	0.241
0.396	0.241
0.396	0.241
0.396	0.241
0.396	0.241
0.396	0.241
0.396	0.241
0.396	0.241
0.396	0.241
0.396	0.243
0.396	0.243
0.392	0.251
0.387	0.26
0.387	0.26
0.387	0.26
0.397	0.244
0.397	0.244
0.397	0.244
0.397	0.244
0.397	0.244
0.385	0.262
0.385	0.262
0.385	0.262
0.385	0.262
0.394	0.242
0.394	0.242
0.394	0.242
0.394	0.242
0.394	0.242
0.392	0.251
0.39	0.257
0.39	0.257
0.39	0.257
0.39	0.257
0.39	0.257
0.39	0.257
0.39	0.256
0.39	0.256
0.392	0.254
0.392	0.254
0.404	0.238
0.404	0.238
0.394	0.247
0.394	0.247
0.39	0.245
0.39	0.245
0.39	0.245
0.39	0.257
0.39	0.247
0.393	0.252
0.393	0.252
0.394	0.252
0.394	0.252
0.391	0.251
0.391	0.251
0.391	0.251
0.391	0.251
0.391	0.251
0.391	0.248
0.391	0.248
0.387	0.262
0.392	0.252
0.4	0.245
0.392	0.25
0.393	0.244
0.393	0.253
0.393	0.253
0.389	0.253
0.391	0.256
0.392	0.252
0.392	0.252
0.392	0.252
0.392	0.252
0.392	0.252
0.392	0.252
0.394	0.253
0.394	0.253
0.395	0.243
0.395	0.243
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.396	0.247
0.396	0.247
0.396	0.247
0.389	0.252
0.399	0.241
0.399	0.241
0.394	0.246
0.394	0.246
0.394	0.246
0.394	0.246
0.394	0.246
0.393	0.248
0.396	0.244
0.396	0.244
0.396	0.244
0.396	0.244
0.396	0.244
0.396	0.244
0.396	0.244
0.396	0.244
0.396	0.244
0.392	0.255
0.392	0.255
0.392	0.255
0.392	0.255
0.392	0.255
0.392	0.255
0.394	0.253
0.394	0.253
0.394	0.253
0.387	0.253
0.391	0.251
0.391	0.251
0.389	0.254
0.389	0.254
0.389	0.254
0.389	0.254
0.384	0.263
0.384	0.263
0.397	0.246
0.397	0.246
0.397	0.246
0.397	0.246
0.397	0.246
0.397	0.246
0.393	0.249
0.398	0.244
0.398	0.244
0.398	0.244
0.398	0.244
0.392	0.25
0.392	0.25
0.392	0.25
0.399	0.249
0.399	0.249
0.394	0.246
0.394	0.246
0.394	0.246
0.392	0.25
0.392	0.25
0.392	0.25
0.392	0.25
0.395	0.25
0.395	0.25
0.395	0.25
0.395	0.25
0.395	0.25
0.396	0.247
0.396	0.247
0.396	0.247
0.396	0.247
0.396	0.247
0.396	0.247
0.396	0.247
0.396	0.247
0.396	0.247
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.392	0.248
0.392	0.248
0.392	0.248
0.391	0.252
0.391	0.252
0.391	0.252
0.391	0.252
0.391	0.252
0.391	0.252
0.382	0.267
0.382	0.267
0.398	0.246
0.398	0.246
0.398	0.246
0.398	0.246
0.391	0.252
0.391	0.252
0.393	0.249
0.393	0.249
0.387	0.255
0.387	0.255
0.388	0.262
0.388	0.262
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.394	0.245
0.394	0.245
0.394	0.245
0.393	0.243
0.382	0.265
0.382	0.265
0.382	0.265
0.382	0.265
0.396	0.239
0.396	0.239
0.396	0.239
0.396	0.239
0.396	0.243
0.396	0.242
0.396	0.242
0.396	0.242
0.396	0.242
0.396	0.242
0.396	0.243
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.394	0.251
0.391	0.258
0.391	0.258
0.398	0.246
0.398	0.246
0.398	0.246
0.399	0.241
0.399	0.241
0.392	0.251
0.392	0.251
0.392	0.251
0.392	0.251
0.392	0.251
0.392	0.251
0.392	0.251
0.392	0.251
0.392	0.251
0.398	0.239
0.389	0.251
0.389	0.251
0.389	0.251
0.389	0.251
0.399	0.235
0.399	0.235
0.399	0.235
0.399	0.235
0.399	0.235
0.399	0.235
0.399	0.235
0.399	0.235
0.387	0.26
0.399	0.245
0.389	0.254
0.389	0.254
0.389	0.254
0.389	0.254
0.395	0.245
0.395	0.245
0.388	0.257
0.391	0.257
0.391	0.257
0.391	0.257
0.391	0.257
0.391	0.257
0.389	0.254
0.389	0.254
0.383	0.266
0.389	0.251
0.387	0.26
0.393	0.247
0.393	0.247
0.393	0.247
0.393	0.247
0.393	0.247
0.393	0.247
0.393	0.247
0.396	0.247
0.396	0.247
0.396	0.247
0.394	0.251
0.39	0.252
0.39	0.252
0.386	0.261
0.383	0.26
0.383	0.26
0.404	0.232
0.404	0.232
0.392	0.249
0.392	0.249
0.392	0.249
0.392	0.249
0.392	0.249
0.392	0.249
0.392	0.249
0.392	0.249
0.392	0.249
0.392	0.249
0.395	0.245
0.396	0.243
0.396	0.243
0.396	0.243
0.39	0.257
0.39	0.257
0.39	0.257
0.39	0.251
0.385	0.257
0.385	0.257
0.385	0.257
0.395	0.249
0.39	0.249
0.39	0.249
0.401	0.241
0.401	0.241
0.401	0.241
0.391	0.257
0.395	0.249
0.395	0.249
0.398	0.238
0.398	0.238
0.398	0.238
0.405	0.23
0.405	0.23
0.389	0.259
0.389	0.259
0.389	0.259
0.389	0.259
0.389	0.259
0.389	0.259
0.385	0.26
0.385	0.26
0.385	0.26
0.385	0.26
0.385	0.26
0.393	0.252
0.393	0.252
0.393	0.252
0.393	0.252
0.393	0.252
0.387	0.26
0.387	0.26
0.387	0.26
0.397	0.247
0.397	0.247
0.397	0.247
0.397	0.247
0.397	0.247
0.397	0.247
0.397	0.247
0.397	0.247
0.397	0.247
0.397	0.247
0.396	0.24
0.396	0.24
0.396	0.24
0.396	0.24
0.396	0.24
0.396	0.247
0.396	0.247
0.396	0.247
0.388	0.26
0.388	0.26
0.394	0.246
0.394	0.246
0.394	0.246
0.394	0.246
0.392	0.252
0.392	0.252
0.388	0.258
0.388	0.258
0.388	0.258
0.393	0.25
0.393	0.25
0.399	0.24
0.399	0.24
0.399	0.24
0.399	0.24
0.399	0.24
0.396	0.25
0.396	0.25
0.396	0.25
0.396	0.25
0.396	0.25
0.396	0.25
0.396	0.25
0.387	0.261
0.387	0.261
0.387	0.261
0.387	0.261
0.387	0.261
0.387	0.261
0.397	0.246
0.397	0.246
0.396	0.244
0.396	0.244
0.396	0.244
0.396	0.244
0.401	0.237
0.393	0.247
0.396	0.253
0.396	0.253
0.399	0.241
0.399	0.241
0.395	0.257
0.395	0.257
0.398	0.238
0.398	0.238
0.398	0.238
0.398	0.238
0.398	0.238
0.398	0.238
0.396	0.25
0.396	0.25
0.396	0.25
0.396	0.25
0.392	0.247
0.389	0.259
0.389	0.259
0.389	0.259
0.389	0.259
0.389	0.259
0.397	0.241
0.397	0.241
0.397	0.241
0.391	0.255
0.391	0.255
0.391	0.255
0.391	0.255
0.391	0.255
0.391	0.255
0.391	0.255
0.396	0.243
0.396	0.243
0.396	0.243
0.396	0.243
0.396	0.243
0.398	0.243
0.398	0.243
0.394	0.25
0.394	0.25
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.39	0.252
0.39	0.252
0.39	0.252
0.397	0.238
0.397	0.238
0.397	0.238
0.397	0.238
0.397	0.238
0.397	0.238
0.397	0.238
0.397	0.238
0.397	0.238
0.397	0.238
0.397	0.238
0.408	0.231
0.408	0.231
0.408	0.231
0.408	0.231
0.399	0.242
0.399	0.242
0.399	0.242
0.396	0.249
0.39	0.254
0.392	0.248
0.392	0.248
0.39	0.249
0.39	0.249
0.393	0.253
0.393	0.253
0.392	0.255
0.389	0.253
0.389	0.253
0.388	0.253
0.388	0.253
0.388	0.253
0.395	0.244
0.397	0.245
0.397	0.245
0.397	0.245
0.397	0.245
0.397	0.245
0.397	0.245
0.397	0.245
0.388	0.256
0.389	0.253
0.395	0.253
0.395	0.253
0.395	0.253
0.395	0.253
0.395	0.253
0.395	0.253
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.392	0.249
0.392	0.249
0.392	0.249
0.392	0.249
0.392	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.25
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.398	0.242
0.394	0.25
0.394	0.25
0.394	0.25
0.394	0.25
0.394	0.25
0.394	0.25
0.398	0.248
0.398	0.248
0.398	0.248
0.398	0.248
0.387	0.257
0.392	0.254
0.392	0.254
0.385	0.261
0.385	0.261
0.385	0.261
0.385	0.261
0.385	0.261
0.385	0.261
0.385	0.261
0.39	0.257
0.39	0.257
0.392	0.257
0.392	0.257
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.388	0.258
0.399	0.236
0.4	0.237
0.4	0.237
0.391	0.258
0.391	0.258
0.389	0.259
0.397	0.246
0.387	0.257
0.387	0.257
0.401	0.24
0.389	0.261
0.389	0.261
0.389	0.261
0.395	0.244
0.395	0.244
0.398	0.245
0.398	0.245
0.398	0.245
0.404	0.235
0.391	0.255
0.394	0.249
0.394	0.249
0.394	0.249
0.394	0.249
0.394	0.249
0.39	0.256
0.39	0.256
0.39	0.256
0.39	0.256
0.39	0.256
0.392	0.25
0.392	0.25
0.397	0.244
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.388	0.261
0.388	0.261
0.388	0.261
0.393	0.25
0.393	0.25
0.393	0.25
0.394	0.252
0.394	0.252
0.394	0.252
0.394	0.252
0.394	0.252
0.394	0.252
0.394	0.252
0.394	0.252
0.399	0.252
0.393	0.254
0.393	0.254
0.393	0.254
0.392	0.249
0.392	0.249
0.396	0.242
0.391	0.26
0.391	0.26
0.4	0.244
0.388	0.257
0.388	0.257
0.388	0.257
0.388	0.257
0.388	0.257
0.399	0.242
0.39	0.251
0.39	0.251
0.39	0.251
0.39	0.251
0.39	0.251
0.39	0.251
0.39	0.251
0.384	0.262
0.384	0.262
0.384	0.262
0.384	0.262
0.384	0.262
0.384	0.262
0.384	0.262
0.384	0.262
0.384	0.262
0.393	0.25
0.393	0.25
0.393	0.25
0.393	0.25
0.395	0.243
0.393	0.246
0.393	0.246
0.39	0.258
0.39	0.258
0.39	0.258
0.39	0.258
0.4	0.243
0.4	0.243
0.4	0.243
0.39	0.254
0.391	0.25
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.391	0.253
0.391	0.255
0.393	0.254
0.393	0.254
0.393	0.254
0.388	0.257
0.388	0.257
0.388	0.257
0.392	0.253
0.393	0.248
0.393	0.248
0.393	0.248
0.394	0.24
0.394	0.24
0.394	0.24
0.394	0.24
0.394	0.24
0.394	0.24
0.386	0.257
0.394	0.249
0.394	0.249
0.39	0.254
0.39	0.254
0.39	0.254
0.39	0.254
0.39	0.256
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.397	0.241
0.396	0.245
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.396	0.236
0.396	0.236
0.396	0.236
0.395	0.253
0.395	0.253
0.395	0.253
0.395	0.253
0.395	0.253
0.401	0.239
0.401	0.239
0.397	0.239
0.39	0.254
0.39	0.254
0.398	0.239
0.398	0.239
0.398	0.239
0.398	0.239
0.399	0.245
0.399	0.245
0.399	0.245
0.399	0.245
0.399	0.245
0.399	0.245
0.399	0.245
0.399	0.245
0.392	0.247
0.392	0.251
0.392	0.251
0.392	0.251
0.392	0.251
0.392	0.251
0.392	0.251
0.39	0.259
0.39	0.259
0.39	0.259
0.39	0.259
0.387	0.259
0.393	0.251
0.393	0.251
0.392	0.25
0.392	0.25
0.392	0.25
0.392	0.25
0.392	0.25
0.395	0.245
0.4	0.241
0.4	0.241
0.4	0.241
0.39	0.255
0.39	0.255
0.39	0.255
0.39	0.255
0.394	0.245
0.397	0.247
0.397	0.247
0.397	0.247
0.397	0.247
0.387	0.258
0.387	0.258
0.387	0.258
0.387	0.258
0.387	0.258
0.399	0.237
